Datetime,Open,High,Low,Close,Volume
2026-04-20,498.35,507.8,480.0,483.95,5589
2026-04-21,483.95,487.0,465.1,474.45,6881
2026-04-22,474.45,476.9,466.0,467.5,10989
2026-04-23,470.0,480.0,460.6,462.3,10183
2026-04-24,470.0,470.0,446.0,458.45,6108
2026-04-27,462.9,467.9,460.0,461.45,4965
2026-04-28,468.95,474.7,454.55,465.6,6918
2026-04-29,466.85,468.45,456.55,458.6,5241
2026-04-30,460.85,467.95,450.1,453.45,4155
2026-05-04,451.1,465.95,431.35,438.05,17921
2026-05-05,450.0,450.0,435.55,439.15,4338
2026-05-06,464.95,464.95,440.1,448.05,3311
2026-05-07,445.0,453.8,440.1,443.8,6213
2026-05-08,449.9,449.9,437.0,440.25,4455
2026-05-11,440.2,440.2,418.1,426.6,7252
2026-05-12,424.5,450.0,415.2,418.5,7906
2026-05-13,416.0,425.0,410.3,418.2,7184
2026-05-14,411.0,428.0,400.2,403.55,16555
2026-05-15,413.15,424.7,406.0,409.0,5457
2026-05-18,406.0,420.0,393.0,399.85,12751
2026-05-19,400.0,426.5,400.0,411.35,12669
2026-05-20,417.85,425.0,400.55,417.6,10719
2026-05-21,417.8,430.0,417.1,428.05,6373
2026-05-22,429.8,429.85,405.9,407.85,10725
2026-05-25,421.95,424.9,408.35,411.2,16220
2026-05-26,410.0,418.0,404.1,407.75,6712
2026-05-27,407.0,420.0,367.0,368.45,127157
2026-05-29,368.8,387.0,368.5,372.95,40682
2026-06-01,380.0,382.0,352.3,379.25,33533
2026-06-02,381.9,389.0,373.9,386.3,21217
2026-06-03,381.05,387.25,375.1,377.4,12000
2026-06-04,371.05,385.95,371.05,383.15,9379
2026-06-05,383.65,387.85,376.0,380.95,12688
2026-06-08,380.0,385.8,371.4,379.4,8407
2026-06-09,373.7,382.0,369.0,373.6,21786
2026-06-10,373.65,374.95,365.15,369.85,12439
2026-06-11,369.85,373.75,357.1,360.95,19305
